Time,Vmeas,VPSO,VLS
0,12.529177,12.529177,12.529177
1,12.345966,12.2970448255118,12.2993226682918
2,12.322327,12.2929293791297,12.2974433689682
3,12.310507,12.2889556354435,12.2957817936099
4,12.292776,12.2851184812069,12.2941345899205
5,12.280957,12.2814129878067,12.2925014795797
6,12.269137,12.277834404596,12.290882334817
7,12.269137,12.2743781524678,12.2892770291281
8,12.257318,12.2710398176608,12.2876854371548
9,12.251408,12.2678151457889,12.2861074346745
10,12.245497,12.2647139539419,12.2845808065577
11,12.239587,12.2617039738979,12.2829972386866
12,12.233677,12.2587958106775,12.2814591996026
13,12.233677,12.2559999557207,12.2811327069382
14,12.227767,12.2532840510007,12.2784287720022
15,12.227767,12.2506733215892,12.2770009146898
16,12.221857,12.2481360623045,12.2754479975882
17,12.221857,12.2456835677504,12.2739741842112
18,12.215947,12.243326649709,12.2725342169993
19,12.215947,12.2410480629251,12.271107531155
20,12.215947,12.2388450810347,12.2699259100212
21,12.210037,12.2367007647902,12.2682198187219
22,12.210037,12.2346409108938,12.2668284687372
23,12.210037,12.2326347575473,12.2654122568461
24,12.204127,12.2307083302393,12.264608937534
25,12.204127,12.228830546799,12.2626526688513
26,12.204127,12.2270137462199,12.2612869506252
27,12.204127,12.2252557299274,12.2599331978545
28,12.204127,12.2311018412221,12.2620006542186
29,12.198217,12.2294960472776,12.2613035249389
30,12.198217,12.2203939847688,12.2559778061318
31,12.198217,12.2188621123953,12.2571240762652
32,12.192307,12.2173645614326,12.2533737074792
33,12.198217,12.2159281080511,12.2520980897549
34,12.198217,12.2145507677342,12.2509699405167
35,12.192307,12.2132307768477,12.2522343302778
36,12.198217,12.2119235982393,12.2486106834487
37,12.192307,12.2106566627982,12.2471038362265
38,12.192307,12.2094148479161,12.2458537187781
39,12.192307,12.2082251122175,12.2447723827645
40,12.192307,12.2070858490348,12.2461690698548
41,12.186398,12.2135282646606,12.2481222708724
42,12.192307,12.2124831177763,12.2445172080501
43,12.186398,12.2039496584743,12.2424512199279
44,12.192307,12.2104709869676,12.2417344758689
45,12.186398,12.2019968727592,12.238499917089
46,12.186398,12.2085758067515,12.2423340390779
47,12.186398,12.200128796781,12.2356339094764
48,12.186398,12.1992558942765,12.2344841336376
49,12.186398,12.1984083015065,12.2348061596137
50,12.186398,12.1975845182431,12.233590661633
51,12.180488,12.1967976070325,12.233599906771
52,12.180488,12.2035379508079,12.2331298847856
53,12.180488,12.1953029279388,12.2318146676203
54,12.180488,12.2020699231903,12.2311154420145
55,12.180488,12.1938183263713,12.2267289551518
56,12.180488,12.2006399829341,12.232106929953
57,12.180488,12.19246898758,12.2273413387536
58,12.180488,12.1918486850041,12.2277524371961
59,12.180488,12.198693575344,12.2257048754731
60,12.180488,12.1980505518728,12.2255523271136
61,12.180488,12.189918846062,12.2233440571926
62,12.174577,12.196855663986,12.2261882199759
63,12.180488,12.1962591764083,12.2219837418489
64,12.180488,12.1881722374107,12.218518930785
65,12.174577,12.1876049491097,12.218206539106
66,12.180488,12.1945847751333,12.2194193644108
67,12.174577,12.1940860466497,12.2196752359695
68,12.174577,12.1860233868746,12.2162699389735
69,12.174577,12.1855074526392,12.2165844701777
70,12.174577,12.1850590168125,12.2136941411372
71,12.174577,12.1845640495455,12.2110882508489
72,12.174577,12.1840950602696,12.2133557197966
73,12.174577,12.1836780896297,12.2131378788242
74,12.174577,12.1832559030761,12.2124505869934
75,12.168667,12.1828284719894,12.2108573799849
76,12.168667,12.1899429387829,12.2121965354432
77,12.174577,12.1820266531008,12.2076563596119
78,12.174577,12.1815955170494,12.2049501522367
79,12.174577,12.181201502267,12.2045184179824
80,12.168667,12.1808155336086,12.2064989886319
81,12.168667,12.1879702281536,12.2089257142197
82,12.174577,12.1876400979114,12.2084083260499
83,12.174577,12.1797538107467,12.2019613571628
84,12.168667,12.1869136584073,12.206886280725
85,12.168667,12.179068954889,12.2035738988327
86,12.168667,12.1787206351201,12.1995971279262
87,12.174577,12.1783929460152,12.2019941142217
88,12.168667,12.1780423303435,12.199284390501
89,12.168667,12.1852455130379,12.2027414285412
90,12.168667,12.1849338675018,12.1999393140339
91,12.174577,12.1771212974599,12.1959490509313
92,12.168667,12.1767909376801,12.1956210692284
93,12.168667,12.1764658519218,12.1958453865013
94,12.168667,12.1837212989312,12.199225283543
95,12.162757,12.1759270875414,12.1953971366123
96,12.168667,12.175627469612,12.1914145152638
97,12.168667,12.1828380055877,12.1962291808175
98,12.168667,12.1825756258517,12.1963128245386
99,12.168667,12.1823304124874,12.1957616600717
100,12.162757,12.1745122115069,12.1906863485643
101,12.162757,12.1817226676625,12.1896933132884
102,12.162757,12.1739552784395,12.1900494721535
103,12.168667,12.1812012125116,12.1898298036438
104,12.162757,12.1809454523451,12.191633130438
105,12.162757,12.173200564155,12.186102519063
106,12.168667,12.1804405791215,12.1875333658979
107,12.162757,12.1802209049833,12.1900790909746
108,12.162757,12.1799607450018,12.1887145495966
109,12.162757,12.1796893275217,12.1845824577196
110,12.162757,12.1719297607935,12.1816545579561
111,12.162757,12.1716784646449,12.1840385738856
112,12.162757,12.1789770353003,12.186681782453
113,12.162757,12.1712242775247,12.1827238769721
114,12.162757,12.1709795023768,12.1827133834153
115,12.162757,12.1782837258884,12.1813086124957
116,12.162757,12.1705789194251,12.1815801736115
117,12.162757,12.1778713990375,12.1834746513328
118,12.162757,12.1776314046227,12.1784391547513
119,12.162757,12.1774362643379,12.1822702590586
120,12.162757,12.1696943237361,12.1762299615953
121,12.162757,12.1770071183447,12.1809050660805
122,12.162757,12.1767736096548,12.1791183736187
123,12.156847,12.1690364811577,12.1741873058306
124,12.156847,12.1687927372834,12.1740372460024
125,12.162757,12.1685506988434,12.1715074481947
126,12.162757,12.1758168030707,12.1759994482566
127,12.156847,12.1756218224263,12.1745597531654
128,12.162757,12.1678666630155,12.172722325973
129,12.156847,12.1752082510407,12.1753147168041
130,12.156847,12.167482917576,12.1694616265102
131,12.162757,12.167278155427,12.1694505537222
132,12.156847,12.1745519243287,12.1703941482733
133,12.162757,12.1668596268745,12.1714301649894
134,12.156847,12.1741637492891,12.1704619939838
135,12.156847,12.1739494675123,12.1685732504442
136,12.156847,12.1661897477521,12.1659294685108
137,12.162757,12.1659236593644,12.1645308279147
138,12.156847,12.1657170565842,12.1679612870644
139,12.156847,12.1730164934656,12.1674208401498
140,12.156847,12.1728400807591,12.1673717014879
141,12.156847,12.1726078781691,12.1655339092782
142,12.156847,12.1724058131521,12.1662688167996
143,12.156847,12.1721904525685,12.16450086272
144,12.156847,12.1719765681474,12.1642229080467
145,12.156847,12.1642730583909,12.1646116622587
146,12.156847,12.1640755575072,12.1641730720072
147,12.162757,12.1714121699514,12.1665873838336
148,12.156847,12.1712293648037,12.1636928829368
149,12.156847,12.1634996564991,12.1620671658671
150,12.156847,12.1707958574752,12.1631275551902
151,12.156847,12.170644370018,12.1645373411922
152,12.156847,12.1704498731657,12.1623504200071
153,12.150937,12.1702981487891,12.1626502110871
154,12.156847,12.1626124263795,12.1602752060131
155,12.156847,12.1699654172698,12.161740347855
156,12.156847,12.169826531593,12.1623571849019
157,12.156847,12.1696724469476,12.160834268049
158,12.156847,12.1619839678518,12.1550512924835
159,12.156847,12.1617593616339,12.155376893446
160,12.156847,12.1616205424678,12.157920576045
161,12.150937,12.1689157347375,12.1566814558785
162,12.156847,12.1687351269493,12.1560416224992
163,12.156847,12.160993217088,12.1518305852306
164,12.150937,12.1683345283394,12.1576420505792
165,12.150937,12.1606087935208,12.1522419174237
166,12.156847,12.1604040483996,12.1533859163282
167,12.150937,12.1677332728341,12.1535363285187
168,12.156847,12.160052677662,12.1540038975463
169,12.150937,12.1673541453009,12.1520793154349
170,12.150937,12.1671659398381,12.1542946429564
171,12.150937,12.1594728216371,12.151158598452
172,12.150937,12.1668045019667,12.1532124731872
173,12.150937,12.1666172902353,12.1511575839481
174,12.150937,12.166458685573,12.1536910790639
175,12.150937,12.1662855041861,12.151275557346
176,12.150937,12.1660845793777,12.1499251702541
177,12.150937,12.1659126437127,12.1515512208898
178,12.150937,12.1582213839779,12.1493057712257
179,12.150937,12.1580355422136,12.1477499470092
180,12.150937,12.1653695253377,12.1504877326272
181,12.150937,12.1651845570128,12.1498255414516
182,12.150937,12.1650280882482,12.1506615668336
183,12.150937,12.1648710062007,12.1496544975974
184,12.150937,12.164699614635,12.1498440779974
185,12.150937,12.1645138682418,12.146240129031
186,12.150937,12.1568511974025,12.1440978056869
187,12.150937,12.1641709043671,12.1475637144566
188,12.150937,12.1564666124535,12.1432486290072
189,12.150937,12.1638296477586,12.1462711428563
190,12.150937,12.1636725588502,12.1456500696718
191,12.150937,12.1635154439614,12.1478836968993
192,12.150937,12.1633716354554,12.1475269856949
193,12.150937,12.163241020111,12.1473469491752
194,12.150937,12.1630947730691,12.1465909822804
195,12.150937,12.1629478951078,12.1463773376908
196,12.150937,12.1627442483274,12.1434459451337
197,12.150937,12.1625974352334,12.1434436385982
198,12.150937,12.1624360061448,12.1448910440774
199,12.150937,12.1547407904877,12.1396473627307
200,12.150937,12.1545233613456,12.1381284052391
201,12.150937,12.1618550446513,12.1435557723351
202,12.145027,12.1617097248429,12.1436032885496
203,12.150937,12.1615498960049,12.1438055476203
204,12.145027,12.1614314880528,12.1436097274356
205,12.150937,12.1612834867587,12.1432075752016
206,12.145027,12.1611206859399,12.1404887716281
207,12.150937,12.1609577683403,12.1423215445439
208,12.145027,12.1608364443535,12.1423423833668
209,12.145027,12.1606993647616,12.1414567068549
210,12.145027,12.1605331115412,12.1401795330131
211,12.150937,12.1603951532855,12.1414102574944
212,12.145027,12.1602416814254,12.1383772230613
213,12.145027,12.16010190964,12.1405312199536
214,12.145027,12.1599330716083,12.1378837860688
215,12.145027,12.1597786668565,12.1401657234
216,12.145027,12.1596235444637,12.1393141294837
217,12.145027,12.159467732781,12.1381384485598
218,12.150937,12.1593256203327,12.1387439788549
219,12.145027,12.1516355533122,12.1359523329162
220,12.145027,12.1514508557427,12.1345725730318
221,12.145027,12.1588143097105,12.1383653020776
222,12.145027,12.15113811067,12.1339227949637
223,12.145027,12.1584865853038,12.1365246194605
224,12.145027,12.1583297200701,12.1351131566899
225,12.145027,12.1506109675217,12.1302735512804
226,12.145027,12.1579604665023,12.1363738421041
227,12.145027,12.1502708552764,12.130293864288
228,12.139117,12.15760649297,12.1349255595963
229,12.145027,12.1574651334629,12.1358707670507
230,12.145027,12.1572950562169,12.1352474616838
231,12.145027,12.1571107316099,12.133616894351
232,12.139117,12.1569832764196,12.1353340092128
233,12.150937,12.1568406484362,12.1350658013774
234,12.145027,12.1491637012322,12.1317575951345
235,12.145027,12.1564832084492,12.1316336806601
236,12.145027,12.148835047706,12.1315203032904
237,12.150937,12.1561825506056,12.1333921623577
238,12.139117,12.1559682310446,12.1291180983645
239,12.139117,12.1557835589005,12.129160253749
240,12.145027,12.1480942135184,12.126655688497
241,12.145027,12.1478827784476,12.1268895785025
242,12.145027,12.1552205219146,12.1317788642744
243,12.139117,12.1550668687105,12.129368090033
244,12.139117,12.1548992690915,12.1309288080731
245,12.139117,12.1547735855665,12.13190904708
246,12.139117,12.1546186851113,12.1315182808876
247,12.145027,12.1544633677644,12.1312644560984
248,12.139117,12.1542934848527,12.1284236639998
249,12.145027,12.1541519395578,12.1308958648393
250,12.139117,12.1539955572394,12.1301013868196
251,12.145027,12.1538107875964,12.127379839575
252,12.139117,12.1536405178477,12.1275334612529
253,12.139117,12.1534704272426,12.1268990267206
254,12.139117,12.153244447308,12.1250696498516
255,12.145027,12.1455012926947,12.1231019286885
256,12.139117,12.1528134361137,12.1281956876947
257,12.139117,12.1451440969052,12.126103645981
258,12.139117,12.1524988362816,12.1261085476549
