Time,Vmeas,VPSO,VLS
0,13.309296,13.3125087428477,13.3125087428477
1,13.191095,13.065777804388,13.1302640514621
2,13.185185,13.0656870587916,13.1288247498337
3,13.179276,13.0655966304569,13.1285294744294
4,13.179276,13.0655059522909,13.1281755475388
5,13.173365,13.0654150239494,13.1268258280578
6,13.167455,13.0653244133369,13.1275267700277
7,13.167455,13.0652335525684,13.1271597968489
8,13.167455,13.0651430094216,13.126895428615
9,13.161545,13.0650524999223,13.1265778486565
10,13.155635,13.0649620240489,13.1262604141422
11,13.161545,13.0648718652723,13.1259989781935
12,13.155635,13.0647814564808,13.1256285904855
13,13.155635,13.0646910812512,13.1253123842393
14,13.149725,13.0646004556723,13.1246098222636
15,13.143815,13.064510714626,13.1249142962369
16,13.149725,13.0644204398497,13.1243709676873
17,13.149725,13.0643304820436,13.1241110742632
18,13.149725,13.0642402737837,13.124625795927
19,13.143815,13.0641503828084,13.1238243799163
20,13.143815,13.0640602416079,13.1231228848329
21,13.143815,13.0639701338025,13.1228084884959
22,13.137905,13.063880059372,13.122497520904
23,13.137905,13.0637900182959,13.1221871104281
24,13.137905,13.0637002940253,13.1218986953819
25,13.143815,13.0713136034156,13.1246338274911
26,13.137905,13.0635206617137,13.1212736298722
27,13.131995,13.0634307533727,13.1219594139557
28,13.131995,13.0556279655269,13.1175839834891
29,13.131995,13.063250753157,13.1203243364147
30,13.126085,13.0631609448942,13.1200300496511
31,13.126085,13.0630711698262,13.1197239809156
32,13.126085,13.0629817114785,13.1200488164179
33,13.126085,13.0628920026355,13.1191189545303
34,13.126085,13.0628023269287,13.1188096955001
35,13.120175,13.0627129678741,13.1188924178957
36,13.120175,13.062623358276,13.1182059558278
37,13.120175,13.0625337817563,13.1179000750562
38,13.120175,13.06244452182,13.1178350363345
39,13.120175,13.0623550112941,13.1172983609757
40,13.120175,13.0622655337894,13.1169951499362
41,13.120175,13.0621763728324,13.1173246700157
42,13.108356,13.0543740481792,13.1133308897739
43,13.114265,13.0619975822467,13.1162273054356
44,13.114265,13.0619082365333,13.1157964904656
45,13.114265,13.0618189237472,13.1154966364319
46,13.114265,13.0617296438701,13.1151982729403
47,13.114265,13.0616406804287,13.1155308995502
48,13.114265,13.0615511823186,13.1142215150388
49,13.114265,13.0614620010577,13.1143034247729
50,13.108356,13.0613728526321,13.1140099515334
51,13.108356,13.0612834531134,13.112684893688
52,13.108356,13.0611943704098,13.1134101874762
53,13.114265,13.0611053204869,13.11312304601
54,13.108356,13.061016303327,13.1128288328889
55,13.102445,13.0609273189118,13.1125350695952
56,13.108356,13.0685416511475,13.1153065890699
57,13.102445,13.0607497317062,13.1119626012538
58,13.102445,13.0606608453132,13.1116579068997
59,13.108356,13.0605725586422,13.1124495177048
60,13.102445,13.0604837373679,13.1110849211843
61,13.102445,13.0603949487323,13.1107861420596
62,13.102445,13.0603061927179,13.1104958342925
63,13.096535,13.0602177527787,13.1102275464428
64,13.102445,13.0601287779385,13.1088887115741
65,13.096535,13.0600398358049,13.1093826141717
66,13.096535,13.0599514936899,13.1093713688799
67,13.096535,13.0598629005211,13.1090523029039
68,13.096535,13.0597749068653,13.1090237427156
69,13.096535,13.0596863785031,13.1084819666782
70,13.096535,13.0595975987456,13.1079560063029
71,13.096535,13.0595091354388,13.1079052012583
72,13.090625,13.0517075077057,13.1044975340976
73,13.096535,13.0593320221134,13.1074678483626
74,13.090625,13.0592442231953,13.1072199542336
75,13.090625,13.0591561730351,13.107798992944
76,13.090625,13.0590678715956,13.1064951144811
77,13.090625,13.0589796025217,13.1062046287053
78,13.084715,13.0588919327937,13.106102531269
79,13.090625,13.0588037281901,13.1056436745534
80,13.090625,13.0587152720656,13.1053265328643
81,13.096535,13.0663312667436,13.1101888387115
82,13.090625,13.0585401583654,13.1048304395611
83,13.090625,13.0584523661561,13.1051533501789
84,13.090625,13.0583643225467,13.1042489206677
85,13.090625,13.0582763111717,13.1039652545459
86,13.084715,13.0581880481253,13.1032994085824
87,13.084715,13.0581003844264,13.1033062855848
88,13.084715,13.0580127531407,13.1031647373738
89,13.084715,13.0579251539193,13.1028896770743
90,13.084715,13.0578373032638,13.1025797103733
91,13.084715,13.0577494847463,13.1023033348743
92,13.084715,13.0653649822748,13.105092459735
93,13.084715,13.057574511006,13.1018004274441
94,13.084715,13.0574867885962,13.1014801547246
95,13.084715,13.0573990982611,13.1012055797233
96,13.084715,13.0573117234993,13.1010777588721
97,13.078805,13.0572243806323,13.1006820737648
98,13.084715,13.0648403536324,13.1035081035604
99,13.084715,13.0570497906604,13.1001303110079
100,13.084715,13.0569622600419,13.0998455718927
101,13.078805,13.0568747614044,13.0995740531198
102,13.078805,13.0567872947326,13.0993030966504
103,13.078805,13.0567001434936,13.0990669858083
104,13.078805,13.0566127406012,13.0987638368365
105,13.078805,13.0565253696283,13.0984940273239
106,13.084715,13.0641418814472,13.1013666205376
107,13.078805,13.0563521405894,13.0981177007874
108,13.078805,13.0562648647555,13.09769430878
109,13.078805,13.0561776207803,13.0974254269369
110,13.072895,13.0560904086486,13.097158158183
111,13.078805,13.0560035118485,13.0969811988201
112,13.078805,13.055916363253,13.0966266857727
113,13.072895,13.0558295299272,13.0963816015861
114,13.072895,13.0557424448079,13.0960958654453
115,13.072895,13.0556559584109,13.0958865798928
116,13.072895,13.0555692201054,13.0956584745381
117,13.072895,13.0554825134013,13.0953272979701
118,13.066985,13.0553955548441,13.0950427183421
119,13.072895,13.0553086279961,13.094779399433
120,13.072895,13.0552217328423,13.0945166887591
121,13.066985,13.0551348693681,13.0942544310145
122,13.072895,13.055048321104,13.0946230934313
123,13.072895,13.0626648047629,13.0968017606236
124,13.066985,13.0548750356712,13.0934849426841
125,13.072895,13.0547882985572,13.0932120025022
126,13.072895,13.0547018765737,13.0931893716874
127,13.066985,13.0546152025522,13.0926951019041
128,13.072895,13.0545288436534,13.0930646925537
129,13.066985,13.0544422326666,13.0921812487309
130,13.066985,13.0543556532282,13.0919183402338
131,13.066985,13.0542691053239,13.0916605153908
132,13.061075,13.0541825889391,13.0914031684895
133,13.066985,13.0540961040597,13.0911462643055
134,13.066985,13.0540096506711,13.0908898018131
135,13.066985,13.0539232287592,13.090633780244
136,13.061075,13.0538368383097,13.0903781988327
137,13.061075,13.0537504793082,13.0901230568156
138,13.066985,13.0536641517407,13.0898683534301
139,13.061075,13.0458649425643,13.0865454794072
140,13.061075,13.053491307035,13.0893466995766
141,13.061075,13.053405357293,13.0891956091573
142,13.061075,13.0533191553197,13.0888545761431
143,13.061075,13.0532327008199,13.0882140945599
144,13.061075,13.0531465616649,13.08834540602
145,13.061075,13.053060737401,13.0891246193689
146,13.061075,13.05297437696,13.0878196919194
147,13.061075,13.0528880479003,13.0874483151409
148,13.061075,13.0528023175909,13.0873765623378
149,13.066985,13.0527163349729,13.087094591956
150,13.061075,13.0526300997948,13.0868233675649
151,13.055165,13.0525447467855,13.0867188461216
152,13.061075,13.0524588578175,13.0863490637017
153,13.061075,13.0523730000737,13.0860999427585
154,13.061075,13.0522871735405,13.0858521480434
155,13.055165,13.0522016616755,13.0856262466508
156,13.055165,13.052116180962,13.085989475611
157,13.055165,13.0520304477672,13.0851180556526
158,13.055165,13.0519447453944,13.0849227069291
159,13.055165,13.0518587906081,13.0842346960341
160,13.055165,13.0440602379175,13.0813038324044
161,13.061075,13.0516872585834,13.0841169225678
162,13.055165,13.0516013973539,13.083497700279
163,13.055165,13.0515161346905,13.0836715948476
164,13.055165,13.0514306195133,13.0833977791041
165,13.055165,13.0513448515714,13.0831329214152
166,13.061075,13.0589626825322,13.0859752999457
167,13.055165,13.051174260141,13.0826819103411
168,13.055165,13.0510888691273,13.082427575713
169,13.055165,13.0510035091208,13.0821860057296
170,13.055165,13.0509178962298,13.0817071695625
171,13.049255,13.0508325983038,13.0817015172283
172,13.055165,13.0507476148903,13.0820935121126
173,13.055165,13.05066237878,13.0812289516762
174,13.055165,13.0505774571558,13.0816153369142
175,13.055165,13.0504922828082,13.0807515499846
176,13.049255,13.0504071393752,13.0805082859021
177,13.049255,13.0503223103358,13.0803255263785
178,13.049255,13.0502372285865,13.0800337132364
179,13.055165,13.0501521777122,13.0797959454552
180,13.049255,13.0500671576998,13.0795589867753
181,13.055165,13.0499821685361,13.0793224381687
182,13.049255,13.0498974937435,13.07947311338
183,13.055165,13.0575161335488,13.0819746839175
184,13.043345,13.0497285196939,13.0787771522352
185,13.049255,13.0496436533726,13.0783854962107
186,13.049255,13.0495591013177,13.0781841717033
187,13.043345,13.0494742964455,13.0779169105101
188,13.049255,13.0493898058238,13.0777383900228
189,13.049255,13.0493053458415,13.0775064743525
190,13.049255,13.0492206329933,13.0772191003829
191,13.049255,13.0491359508644,13.0769861644443
192,13.049255,13.0490510155633,13.0765162587188
193,13.043345,13.048966961904,13.0765964392145
194,13.049255,13.0488823717503,13.07629252077
195,13.049255,13.0487978122646,13.0760610407785
196,13.043345,13.048713283434,13.0758304964404
197,13.049255,13.0486290687489,13.0756901931778
198,13.043345,13.0485448846089,13.0756097492352
199,13.043345,13.0484604474561,13.0751450312058
200,13.043345,13.0483760409075,13.0749143060852
201,13.043345,13.0482916649504,13.0746857220068
202,13.043345,13.0482073195722,13.0744575435254
203,13.043345,13.048123288316,13.0752577541371
204,13.043345,13.0480387201049,13.0739555273929
205,13.049255,13.0479544663873,13.0737750043287
206,13.043345,13.0478705267432,13.0741792061865
207,13.043345,13.0477863339639,13.0733282290261
208,13.043345,13.0477018878619,13.0730762277032
209,13.043345,13.0476177561818,13.0728710699039
210,13.043345,13.0475339384622,13.0726805379289
211,13.043345,13.0474498676198,13.0724227382906
212,13.037435,13.0473649755946,13.0712392141216
213,13.037435,13.0472812494656,13.0720539581819
214,13.043345,13.0471972701558,13.071749368385
215,13.037435,13.0471133212612,13.0715256263549
216,13.043345,13.0470294027694,13.0713028694611
217,13.037435,13.0469452307683,13.070449242235
218,13.037435,13.0468616566747,13.0710902654402
219,13.037435,13.0467781128622,13.0712691075765
220,13.037435,13.0466945992874,13.070808223515
221,13.037435,13.0466111159577,13.0708302313988
222,13.031525,13.0465273789612,13.0702252744217
223,13.037435,13.0464436726256,13.0697591338415
224,13.031525,13.046359996594,13.0695375761929
225,13.031525,13.046276350854,13.0693182228954
226,13.037435,13.0461930189287,13.0694860771998
227,13.037435,13.0461094332223,13.0685316426341
228,13.037435,13.0460258781781,13.0686608431624
229,13.037435,13.0459423533765,13.0684456034258
230,13.037435,13.0458591423083,13.0683179987078
231,13.037435,13.0457756775057,13.0684094752177
232,13.031525,13.0456925267245,13.0678197825993
233,13.031525,13.0456091225601,13.0675801788896
234,13.037435,13.0455257485774,13.0673640252846
235,13.031525,13.0454424047641,13.0671484150285
236,13.037435,13.0453590911082,13.0669331760892
237,13.037435,13.0452760911217,13.0669557831951
238,13.037435,13.0451928376384,13.0665065803212
239,13.031525,13.0451098977905,13.0664366338068
240,13.031525,13.0450267044316,13.0660789992437
241,13.031525,13.0449435411696,13.0658645209349
242,13.031525,13.0525634080793,13.0686818329273
243,13.031525,13.0447775881009,13.0654854730249
244,13.031525,13.0446945149517,13.0652278481705
245,13.031525,13.0523153228663,13.0694951585829
246,13.031525,13.0445295926216,13.0648855649021
247,13.031525,13.0444468926748,13.0647433100215
248,13.031525,13.0443639391211,13.0643880191577
249,13.031525,13.0442810155685,13.0641764381055
250,13.037435,13.0441984054876,13.064000669613
251,13.031525,13.0441155417957,13.0637577662768
252,13.031525,13.0440327080691,13.0635480979079
253,13.031525,13.0439501878101,13.0634849788041
254,13.031525,13.0438676973969,13.0633698983994
255,13.031525,13.0437852368393,13.0639537708683
256,13.031525,13.043702522538,13.062724708938
257,13.031525,13.0436201216985,13.0635374307027
258,13.025615,13.0435374670916,13.062310787002
259,13.031525,13.043454842367,13.0620962344061
260,13.025615,13.0433725310686,13.0629176039551
261,13.025615,13.04329024945,13.0617264589605
262,13.025615,13.0432071467506,13.0613688645252
263,13.025615,13.043124641437,13.0612711997447
